Countries,MothersCash,ChildrenCoverd,DistributionB40,DistributionT20,DistributionB20,HouseholdB40,HouseholdT20,HouseholdB20,Gini,Palma,GDP
Lesotho,,10.4,,,,9.6,58.2,2.8,54.2,,1232.8
Liberia,,,37.5,21.5,20.8,,42.8,7.2,35.3,,698.7
Libya,,,,,,,,,,,5792.1
Liechtenstein,100,,,,,,,,,,165028.2
Lithuania,100,,39.9,18.9,20.2,17.7,44.1,6.1,37.4,,16809.6
Luxembourg,100,,,,,19.3,41,7.2,33.8,,104498.7
Madagascar,,,,,,15.7,49.4,5.7,42.6,2.3,448.4
Malawi,,9.8,22.7,38.5,11,16.2,51.7,6.4,44.7,2.3,356.7
Malaysia,,,22.9,37.2,10.2,,47.3,5.8,41,2.6,10117.6
Maldives,,,37,27.3,18.7,,,,,,9801.6
Mali,,5.4,6.1,67,0.4,,,,,1.3,828.6
Malta,100,,,,,21.9,38.1,8.5,29.4,,27241.1
Marshall Islands,,,,,,,,,,,3516.7
Mauritania,,,18.2,42.7,7.7,,40.2,7.5,32.6,,1161.8
Mauritius,,,26.6,35.6,12,,43.9,7.4,35.8,,10484.9
Mexico,9.6,28.4,16.4,58.2,7.7,15.5,50.1,5.7,43.4,2.7,9281.1
Micronesia (Federated States of),,,,,,,46,5.5,40.1,,3018.4
Monaco,,,,,,,,,,,166726.1
Mongolia,100,100,33,24.9,15.2,20.4,40.6,8,32.3,,3671.9
Montenegro,,,24.1,37.6,10.5,20.8,40.5,8.5,31.9,1,7784.1
Montserrat,,,,,,,,,,,
Morocco,,,,,,,47,6.7,39.5,,3036.2
Mozambique,0.2,,13.4,55.6,5.3,,59.5,4.2,54,,441.6
Myanmar,0.7,,,,,,45.7,7.3,38.1,,1249.8
Namibia,,,,,,,63.7,2.8,59.1,,5646.5
Nauru,,,,,,,,,,,8844.4
Nepal,,,17.1,47.7,5.9,20.4,41.5,8.3,32.8,1.3,900.6
Netherlands,100,100,,,,22.8,37.3,8.9,28.2,,48482.8
New Zealand,,,,,,,,,33,,42260.1
Nicaragua,,,9.3,56.1,2.5,,52.1,5.1,46.2,,2168.2
Niger,,4.2,12.2,51.6,5.5,,42.4,7.8,34.3,,375.9
Nigeria,0.1,,8.7,68.6,2.2,,,,,3,1968.6
Niue,,,,,,,,,,,
North Macedonia,,,,,,17.3,41.1,5.6,35.6,2.3,5417.6
Norway,100,100,,,,23.1,36.5,9,27.5,,75704.2
Oman,,,,,,,,,,,15170.4
Pakistan,,,11.9,58.2,5.1,21.1,42.8,8.9,33.5,,1466.8
Palau,,,,,,,,,,,16274.9
Panama,,37.3,14.3,55.1,5.7,11.5,54.2,3.4,49.9,3.6,15166.1
Papua New Guinea,,,33,52.4,4.5,,,,,,2640.2
Paraguay,3,32.8,11.8,61.2,4.6,13.2,54,4.6,48.8,3.7,5680.6
Peru,,,10.3,63.2,5.4,14.4,48.4,4.7,43.3,2.9,6700.8
Philippines,11,13.6,26.1,46.7,12.9,,47.3,6.6,40.1,2.2,2981.9
Poland,100,100,26.1,30,11.5,21.3,39.5,8.5,30.8,1.3,13861.1
Portugal,100,93.1,,,,18.7,42.7,6.7,35.5,,21291.4
Qatar,,,,,,,,,,,61264.4
Republic of Korea,,,,,,20.3,39,7.3,31.6,,29742.8
Republic of Moldova,,,36.5,20.8,15.9,24.1,36.1,10,25.9,1.3,2724.5
Romania,100,100,25.1,32.3,9.6,16.9,40.7,5.1,35.9,1,10793
Russian Federation,63,100,28.8,23.8,9.5,18,45.3,6.9,37.7,1.9,10750.6
Rwanda,,,27,42.9,12.7,15.8,50.8,6,43.7,3.2,762.5
Saint Kitts and Nevis,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,7149.6
Samoa,,,25.1,42.2,11,,46.4,6.8,38.7,,4307.8
San Marino,,,,,,,,,,,48494.6
Sao Tome and Principe,,,,,,21.1,39.5,8.4,30.8,,1811
Saudi Arabia,,,,,,,,,,,20803.7
Senegal,,4,3.2,66.3,1.2,,46.9,6.1,40.3,1.9,1367.2
Serbia,,,30.1,28,13.4,22.5,37.7,9,28.5,1.1,6284.2
Seychelles,,,,,,,53,5.4,46.8,,15683.7
Sierra Leone,,,,,,,42.4,7.9,34,1.5,499.4
Singapore,,,,,,,,,,,60297.8
Slovakia,100,100,27.9,18.4,10.5,23.1,35,8.5,26.5,0.9,17579.3
Slovenia,96,79.4,,,,24.1,35.1,9.6,25.4,,23449.6
Solomon Islands,,,,,,,44.6,7,37.1,,2077.1
Somalia,,,,,,,,,,,488.6
South Africa,,75.1,37.1,31.6,18.5,7.2,68.2,2.4,63,7.1,6120.5
South Sudan,,,17.1,55.9,3.9,,,,,,283.5
Spain,100,100,,,,17.5,42.1,5.8,36.2,,28208.3
Sri Lanka,,,15.7,49.3,6,,47.6,7,39.8,1.6,4104.6
State of Palestine,,,39.3,13.1,18.8,19.2,41.1,7.3,33.7,1.5,3254.5
Sudan,,,33,22.9,18,,,,,1.4,3015
Suriname,,,,,,,,,,,5379.1
Sweden,100,100,,,,22.1,37.6,8.2,29.2,,53253.5
Switzerland,100,100,,,,20.3,40.2,7.8,32.3,,80333.4
Syrian Arab Republic,,,,,,,,,,,
Tajikistan,59.5,6.4,35.3,25.8,17,,41.7,7.4,34,1.2,806
Thailand,,18.9,17.5,48.9,8.4,18.4,44.1,7.3,36.5,1.8,6578.2
Timor-Leste,,30.7,8.8,88,5.3,,38.4,9.4,28.7,,2000.6
Togo,,49,2.3,86.2,0,,48.6,5,43.1,1.8,619.1
Tokelau,,,,,,,,,,,
Tonga,,,5,44.9,0,,45.4,6.8,37.6,,4217.5
Trinidad and Tobago,,,,,,,,,,,16076.1
Tunisia,,48.3,37.3,19.7,19.8,20.1,40.9,7.8,32.8,1.5,3494.3
Turkey,,,16.7,38.7,6.1,15.6,48.3,5.7,41.9,1.9,10499.7
Turkmenistan,,,,,,,,,,,6587.1
Turks and Caicos Islands,,,,,,,,,,,25933.6
Tuvalu,,,,,,17.4,46.4,6.6,39.1,,3572.6
Uganda,,,11.4,68.2,0.9,,49.8,6.1,42.8,2.3,631.5
Ukraine,100,100,32,25.7,14,24.5,35.1,10.1,25,0.9,2640.7
United Arab Emirates,,,,,,,,,,,40325.4
United Kingdom,100,100,,,,19.7,40.6,7.5,33.2,,39932.1
United Republic of Tanzania,0.3,,7,70.8,3.1,,45.8,7.4,37.8,,1004.8
United States,,,,,,15.2,46.9,5,41.5,,59927.9
Uruguay,100,66.2,11.9,50.7,3.2,16.5,45.8,5.9,39.5,2.5,16437.2
Uzbekistan,16,22,,,,,,,,,1826.6
Vanuatu,,,,,,17.8,44.8,6.7,37.6,,2976.1
Venezuela (Bolivarian Republic of),,,,,,,,,,,16054.5
Viet Nam,44.5,,10.6,54.4,3.7,18.8,42.5,6.9,35.3,,2365.6
Yemen,,,,,,,44.7,7.3,36.7,,963.5
Zambia,,21.1,1.3,75.5,0.3,8.9,61.3,2.9,57.1,4.8,1534.9
Zimbabwe,,,7.6,58.7,2.2,,49.7,5.8,43.2,,1602.4
